Batch_Idx,Avg_Reward,Loss_Job,Loss_Mch,Val_Makespan,Time
0,-1264.6692,2.1855,1.4140,0.0000,13.10
1,-4252.8386,1.8065,-0.0301,0.0000,11.42
2,-4265.5768,1.5375,-0.0166,0.0000,11.90
3,-3867.2337,1.3908,-0.0131,0.0000,12.07
4,-4101.6145,0.9275,-0.0163,0.0000,12.16
5,-4155.0693,0.7528,0.0046,0.0000,11.92
6,-5341.7199,0.9149,-0.0183,0.0000,12.08
7,-4149.3843,0.7564,-0.0103,0.0000,12.17
8,-4424.1684,0.4889,0.0413,0.0000,11.86
9,-1728.6361,0.9593,-0.0161,0.0000,12.14
10,-3639.4349,1.1074,0.1868,0.0000,13.04
11,-399.1664,1.1041,0.2637,0.0000,10.74
12,-364.1177,1.0228,0.0139,0.0000,12.32
13,-341.3597,1.2213,0.0017,0.0000,12.28
14,-360.8732,0.6292,-0.0041,0.0000,11.74
15,-386.3581,1.1397,-0.0077,0.0000,12.31
16,-356.5972,0.9479,0.0129,0.0000,12.17
17,-360.6771,0.7842,-0.0262,0.0000,12.03
18,-383.3129,0.7745,-0.0216,0.0000,12.64
19,-386.8562,0.6177,0.0023,412.9599,12.20
20,-391.0059,0.8895,0.0181,0.0000,63.17
21,-398.9824,0.8437,0.0039,0.0000,10.75
22,-363.6614,0.3844,0.0065,0.0000,11.82
23,-383.6008,0.7491,-0.0100,0.0000,11.98
24,-383.9041,0.5582,-0.0201,0.0000,11.85
25,-357.2634,0.7897,-0.0176,0.0000,11.88
26,-380.4339,0.3026,-0.0218,0.0000,12.12
27,-353.4070,0.4517,-0.0163,0.0000,11.80
28,-389.1946,0.4921,-0.0134,0.0000,11.97
29,-383.1268,0.2462,-0.0055,0.0000,12.08
30,-364.1787,0.3673,0.0179,0.0000,12.34
31,-383.9423,0.2728,-0.0239,0.0000,11.23
32,-387.8432,0.3118,-0.0017,0.0000,12.08
33,-391.2135,0.2709,-0.0200,0.0000,11.71
34,-392.3085,0.6021,-0.0273,0.0000,11.83
35,-372.2629,0.6072,0.0142,0.0000,12.11
36,-381.1362,1.0250,-0.0004,0.0000,11.72
37,-382.0043,0.5940,0.0065,0.0000,11.90
38,-390.4304,0.3487,-0.0185,0.0000,11.92
39,-363.2813,0.3729,0.0069,1060.3063,11.64
40,-422.2681,0.2777,-0.0063,0.0000,65.23
41,-374.3564,0.3444,-0.0086,0.0000,11.08
42,-365.7311,0.4799,-0.0200,0.0000,12.23
43,-388.7987,0.3203,-0.0234,0.0000,12.11
44,-390.6214,0.4009,-0.0403,0.0000,11.80
45,-384.0950,0.3112,-0.0184,0.0000,12.00
46,-363.6301,0.4233,-0.0113,0.0000,12.01
47,-385.9019,0.3383,-0.0146,0.0000,11.88
48,-379.4752,0.2372,-0.0238,0.0000,12.13
49,-380.0317,0.1637,-0.0297,0.0000,12.04
50,-380.2613,0.2383,-0.0191,0.0000,12.27
51,-376.2607,0.5292,0.0263,0.0000,10.52
52,-400.4095,0.3464,-0.0098,0.0000,11.58
53,-368.3112,0.3075,0.0640,0.0000,11.80
54,-410.9635,0.1939,0.0137,0.0000,12.03
55,-405.8545,0.1766,-0.0118,0.0000,11.82
56,-379.4251,0.2635,-0.0034,0.0000,11.72
57,-379.8563,0.1627,-0.0328,0.0000,11.91
58,-370.3318,0.1385,-0.0231,0.0000,11.74
59,-381.8727,0.2297,-0.0048,406.3939,11.77
60,-343.4234,0.2505,0.0121,0.0000,63.10
61,-401.8063,0.1973,-0.0169,0.0000,11.33
62,-342.4173,0.3607,-0.0114,0.0000,12.03
63,-366.4752,0.1401,-0.0134,0.0000,11.76
64,-356.8079,0.2369,-0.0248,0.0000,11.96
65,-352.3921,0.2018,-0.0160,0.0000,12.02
66,-359.1211,0.3016,-0.0142,0.0000,11.72
67,-352.0374,0.2004,0.0042,0.0000,11.87
68,-369.7167,0.1743,0.0058,0.0000,12.07
69,-389.1742,0.1978,0.0011,0.0000,11.76
70,-379.6907,0.1420,-0.0113,0.0000,12.51
71,-359.2881,0.2479,-0.0315,0.0000,11.28
72,-378.2629,0.1949,-0.0101,0.0000,11.68
73,-352.1581,0.3321,-0.0194,0.0000,12.09
74,-357.8361,0.1958,0.0145,0.0000,12.57
75,-393.5613,0.1475,-0.0204,0.0000,11.79
76,-363.9086,0.2413,-0.0353,0.0000,12.00
77,-368.8293,0.3252,-0.0079,0.0000,12.01
78,-397.8590,0.2210,-0.0387,0.0000,11.63
79,-366.3711,0.1746,0.0206,437.9697,12.08
80,-384.0265,0.2173,-0.0274,0.0000,63.41
81,-380.9677,0.4539,-0.0105,0.0000,11.62
82,-421.1777,0.2223,-0.0057,0.0000,12.10
83,-387.7699,0.1531,-0.0271,0.0000,11.96
84,-364.9759,0.2543,-0.0278,0.0000,12.46
85,-382.9988,0.1152,-0.0165,0.0000,11.90
86,-390.6520,0.1636,-0.0314,0.0000,11.34
87,-376.6606,0.2812,-0.0394,0.0000,11.56
88,-424.5787,0.1794,-0.0005,0.0000,11.89
89,-392.5909,0.2478,-0.0302,0.0000,11.88
90,-380.7853,0.1689,-0.0236,0.0000,13.20
91,-360.4050,0.2226,-0.0357,0.0000,10.60
92,-373.4097,0.2272,-0.0201,0.0000,11.82
93,-399.7146,0.1318,-0.0490,0.0000,12.22
94,-375.7715,0.2162,-0.0416,0.0000,11.83
95,-369.9952,0.1827,-0.0411,0.0000,12.21
96,-424.2630,0.1846,0.0148,0.0000,11.93
97,-426.7268,0.2110,-0.0225,0.0000,11.79
98,-385.1400,0.1354,-0.0285,0.0000,11.93
99,-373.1307,0.3277,-0.0476,392.4565,12.09
100,-384.7673,0.1456,-0.0428,0.0000,63.13
101,-394.2254,0.1482,-0.0491,0.0000,10.87
102,-384.7751,0.1431,-0.0281,0.0000,11.65
103,-374.9759,0.1472,-0.0341,0.0000,11.87
104,-375.4361,0.1176,-0.0388,0.0000,12.03
105,-378.7005,0.1489,-0.0235,0.0000,11.75
