Batch_Idx,Avg_Reward,Loss_Job,Loss_Mch,Val_Makespan,Time
0,-1412.3357,2.4827,0.8741,0.0000,10.88
1,-1398.1269,2.0006,0.0692,0.0000,9.78
2,-1493.5431,1.9327,0.0366,0.0000,10.39
3,-1367.7114,1.9670,-0.0166,0.0000,10.51
4,-1414.0364,1.9582,-0.0254,0.0000,10.38
5,-1418.3958,1.9013,-0.0218,0.0000,10.23
6,-1444.1419,1.8711,-0.0246,0.0000,10.44
7,-1408.4477,1.5864,-0.0445,0.0000,10.28
8,-1388.8528,1.6917,-0.0317,0.0000,10.01
9,-1452.3946,1.3233,-0.0312,0.0000,10.15
10,-1371.5766,1.2178,-0.0301,0.0000,10.60
11,-1378.3135,0.9852,0.0070,0.0000,9.69
12,-1381.1080,0.9433,-0.0189,0.0000,10.01
13,-1426.2278,0.8465,-0.0427,0.0000,10.33
14,-1420.4886,0.9449,-0.0151,0.0000,10.31
15,-1383.2780,0.7466,0.0008,0.0000,9.97
16,-1444.4064,0.7125,0.0066,0.0000,10.28
17,-1408.3916,0.6582,-0.0156,0.0000,10.25
18,-1429.9294,0.3277,-0.0221,0.0000,10.28
19,-1424.5109,0.4547,-0.0457,1117.2633,10.07
20,-1388.9843,0.2381,-0.0274,0.0000,58.85
21,-1373.8326,0.3282,-0.0159,0.0000,9.65
22,-1417.4857,0.2273,-0.0118,0.0000,10.37
23,-1407.6651,0.2353,-0.0142,0.0000,10.35
24,-1398.6690,0.2639,-0.0129,0.0000,10.02
25,-1429.3069,0.2157,-0.0138,0.0000,10.23
26,-1426.8473,0.2666,0.0003,0.0000,10.20
27,-1412.0997,0.1480,-0.0223,0.0000,10.19
28,-1449.2217,0.1156,-0.0391,0.0000,9.93
29,-1419.8697,0.1692,-0.0028,0.0000,10.18
30,-1410.8477,0.1878,-0.0342,0.0000,10.55
31,-1440.3750,0.1679,-0.0256,0.0000,9.42
32,-1378.8480,0.2097,-0.0232,0.0000,10.03
33,-1483.9526,0.1421,-0.0267,0.0000,10.26
34,-1461.1564,0.1039,-0.0246,0.0000,10.00
35,-1418.8647,0.1268,-0.0268,0.0000,10.03
36,-1444.1144,0.1111,-0.0669,0.0000,10.24
37,-1583.0375,0.2941,0.0132,0.0000,10.30
38,-1489.1625,0.1623,-0.0130,0.0000,9.94
