Batch_Idx,Avg_Reward,Loss_Job,Loss_Mch,Val_Makespan,Time
0,-1310.0062,3.8311,2.4059,0.0000,12.24
1,-1876.0905,2.3939,0.2135,0.0000,10.98
2,-1422.6106,1.8346,0.6494,0.0000,11.86
3,-514.1566,3.7268,0.0601,0.0000,11.72
4,-929.0437,1.7791,-0.0330,0.0000,11.84
5,-424.2600,2.5505,-0.0381,0.0000,12.02
6,-449.4878,1.7337,-0.0429,0.0000,11.86
7,-450.6557,1.9580,-0.0401,0.0000,11.90
8,-437.4752,1.2646,-0.0412,0.0000,11.95
9,-408.8704,1.6197,-0.0151,0.0000,11.61
10,-460.1882,0.9094,-0.0159,0.0000,12.64
11,-422.6349,1.0820,0.0276,0.0000,10.98
12,-447.6994,1.2322,0.0027,0.0000,12.42
13,-405.4704,1.6062,0.0017,0.0000,11.98
14,-416.0631,1.0069,-0.0269,0.0000,11.75
15,-420.7283,0.7592,-0.0517,0.0000,11.97
16,-431.0471,0.7506,-0.0093,0.0000,12.02
17,-441.8982,0.7925,-0.0254,0.0000,11.70
18,-433.1265,0.7350,-0.0281,0.0000,12.55
19,-416.2809,0.5670,0.0169,867.8000,12.39
20,-414.9468,0.8681,-0.0093,0.0000,55.20
21,-395.4249,0.5853,0.0021,0.0000,11.46
22,-399.6009,0.9213,0.0323,0.0000,12.40
23,-379.2804,0.9636,0.0376,0.0000,12.04
24,-378.8518,0.4443,-0.0208,0.0000,12.11
25,-389.3434,0.7970,-0.0282,0.0000,11.99
26,-383.5002,0.6046,-0.0265,0.0000,12.15
27,-381.6953,0.3853,-0.0436,0.0000,12.07
28,-384.0698,0.5455,-0.0600,0.0000,11.97
29,-373.3295,0.4474,-0.0171,0.0000,11.94
30,-377.2185,0.4336,-0.0455,0.0000,12.57
31,-365.3561,0.5415,-0.0191,0.0000,10.86
32,-385.1035,0.3777,-0.0357,0.0000,11.77
33,-366.0477,0.2861,-0.0227,0.0000,11.92
34,-400.5038,0.3354,-0.0183,0.0000,11.93
35,-389.2549,0.3805,-0.0169,0.0000,11.94
36,-369.6915,0.4252,-0.0330,0.0000,12.04
37,-368.4981,0.3681,-0.0401,0.0000,11.82
38,-378.6099,0.5119,-0.0188,0.0000,11.96
39,-380.1879,0.4073,-0.0443,580.2910,12.01
40,-354.8194,0.3430,-0.0380,0.0000,52.73
41,-370.3341,0.3132,-0.0411,0.0000,11.19
42,-369.4713,0.4082,-0.0267,0.0000,12.16
43,-377.8371,0.4241,-0.0379,0.0000,11.67
44,-381.0997,0.4420,-0.0328,0.0000,11.82
45,-364.6742,0.3872,-0.0231,0.0000,11.84
46,-373.7761,0.3816,-0.0247,0.0000,12.49
47,-377.1269,0.3929,-0.0333,0.0000,13.05
48,-378.8519,0.4935,-0.0241,0.0000,13.28
49,-357.0058,0.4760,-0.0448,0.0000,12.73
50,-355.7451,0.3509,-0.0211,0.0000,13.31
51,-361.3229,0.4769,-0.0164,0.0000,12.00
52,-354.8246,0.3605,-0.0299,0.0000,13.11
53,-372.7915,0.5236,-0.0156,0.0000,13.10
54,-379.7688,0.3040,-0.0310,0.0000,12.91
55,-376.9188,0.3068,-0.0420,0.0000,12.71
56,-350.3681,0.4030,-0.0292,0.0000,12.60
57,-368.6397,0.3789,-0.0333,0.0000,12.62
58,-374.5897,0.4399,-0.0549,0.0000,12.64
59,-373.1741,0.2236,-0.0430,471.9090,12.26
60,-366.8283,0.3080,-0.0446,0.0000,52.49
61,-374.0614,0.3102,-0.0303,0.0000,11.97
62,-354.8449,0.3087,-0.0060,0.0000,12.67
63,-366.9063,0.4693,-0.0226,0.0000,12.64
64,-361.1103,0.3075,-0.0355,0.0000,13.15
65,-357.2498,0.3109,-0.0386,0.0000,12.45
66,-381.1558,0.3061,-0.0192,0.0000,12.87
67,-363.3298,0.3787,-0.0378,0.0000,12.62
68,-385.4608,0.3408,-0.0089,0.0000,12.40
69,-383.6126,0.3827,-0.0429,0.0000,12.73
70,-382.8839,0.3151,-0.0303,0.0000,13.05
71,-375.3391,0.2926,-0.0283,0.0000,11.68
72,-373.6467,0.3023,-0.0455,0.0000,12.67
73,-382.2229,0.3822,-0.0347,0.0000,12.18
74,-363.7930,0.2689,-0.0200,0.0000,12.53
75,-376.3400,0.4603,-0.0245,0.0000,12.40
76,-348.1228,0.3304,-0.0176,0.0000,12.20
77,-373.6811,0.3617,-0.0314,0.0000,12.44
78,-366.1808,0.3052,-0.0401,0.0000,12.44
79,-357.7667,0.4049,-0.0489,548.9188,12.20
80,-365.9376,0.3459,-0.0363,0.0000,53.00
81,-396.0079,0.2856,-0.0321,0.0000,11.54
82,-351.2674,0.3709,-0.0184,0.0000,12.42
83,-365.9931,0.3157,-0.0643,0.0000,12.54
84,-358.9471,0.3665,-0.0060,0.0000,12.28
85,-367.5271,0.3337,-0.0301,0.0000,12.49
86,-374.3374,0.3899,-0.0271,0.0000,12.57
87,-341.8404,0.2855,-0.0188,0.0000,12.12
88,-347.3298,0.3495,-0.0527,0.0000,12.86
89,-360.2185,0.2846,-0.0230,0.0000,12.63
90,-373.4263,0.2632,-0.0345,0.0000,12.95
91,-340.9642,0.3513,-0.0307,0.0000,11.12
92,-356.2673,0.2601,-0.0184,0.0000,11.96
93,-358.7546,0.2283,-0.0483,0.0000,12.05
94,-355.1817,0.3211,-0.0262,0.0000,11.97
95,-352.5167,0.1986,-0.0358,0.0000,11.76
96,-369.0883,0.3389,-0.0377,0.0000,12.42
97,-356.1999,0.2750,-0.0506,0.0000,12.00
98,-368.5549,0.2536,-0.0414,0.0000,12.11
99,-343.1477,0.2798,0.0032,419.8199,12.47
100,-388.7944,0.1966,-0.0276,0.0000,52.77
101,-355.2540,0.2056,-0.0430,0.0000,10.92
102,-356.9010,0.2680,-0.0255,0.0000,12.65
103,-357.2660,0.2385,-0.0209,0.0000,12.24
104,-359.0065,0.2550,-0.0542,0.0000,12.09
105,-370.4375,0.2814,-0.0019,0.0000,12.85
106,-366.5501,0.4199,-0.0031,0.0000,12.81
107,-370.2591,0.4633,-0.0277,0.0000,11.96
108,-369.8845,0.2364,-0.0345,0.0000,12.07
109,-382.2918,0.2176,-0.0170,0.0000,12.17
110,-354.1970,0.3103,-0.0475,0.0000,12.40
111,-380.7790,0.3222,-0.0266,0.0000,11.24
112,-368.6462,0.4419,-0.0324,0.0000,11.92
113,-371.2482,0.3367,-0.0211,0.0000,12.59
114,-367.5112,0.2656,-0.0204,0.0000,13.19
115,-354.6432,0.2990,-0.0332,0.0000,12.10
116,-349.8851,0.2982,-0.0390,0.0000,12.71
117,-373.2037,0.3463,-0.0410,0.0000,12.70
118,-342.1562,0.3505,-0.0350,0.0000,12.58
119,-350.5741,0.3246,-0.0392,476.6530,12.84
120,-352.4192,0.3015,-0.0402,0.0000,53.47
121,-363.1081,0.4030,-0.0101,0.0000,11.69
122,-354.5765,0.4493,-0.0207,0.0000,12.84
123,-365.7423,0.3790,0.0302,0.0000,12.52
124,-361.6789,0.3255,-0.0188,0.0000,12.59
125,-356.1288,0.3776,-0.0143,0.0000,12.48
126,-356.9742,0.3195,-0.0269,0.0000,12.32
127,-365.6483,0.3921,-0.0321,0.0000,12.59
128,-365.1468,0.2472,-0.0152,0.0000,12.66
129,-360.3746,0.2683,-0.0074,0.0000,12.24
